summary-marketing-airlines,itemAirport,itemAirport 2,summary-luggage-unit,summary-transit,money-int,zaman
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,4801,85
easyJet,LGW,CDG,El çantası,Direkt Uçuş,5286,75
easyJet,LGW,CDG,El çantası,Direkt Uçuş,5286,75
easyJet,LGW,CDG,El çantası,Direkt Uçuş,5945,75
easyJet,LTN,CDG,El çantası,Direkt Uçuş,6052,80
easyJet,LTN,CDG,El çantası,Direkt Uçuş,6393,80
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,7335,85
easyJet,LTN,CDG,El çantası,Direkt Uçuş,7355,80
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,7572,85
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,781,85
easyJet,LTN,CDG,El çantası,Direkt Uçuş,7891,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,8052,80
Vueling Airlines,LHR,ORY,El çantası,Direkt Uçuş,8394,95
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,8399,75
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,8399,75
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,9092,75
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,9119,80
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,9441,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,9924,80
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,10051,75
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,10352,80
KLM Royal Dutch Airlines,LHR,AMS,1x23 kg,1 Aktarma,10824,600
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,10855,95
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,10859,85
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,10978,80
British Airways,LHR,ORY,1x23 kg,Direkt Uçuş,1104,95
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,11219,80
easyJet,LTN,CDG,El çantası,Direkt Uçuş,11301,80
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,11458,645
KLM Royal Dutch Airlines,LCY,AMS,1x23 kg,1 Aktarma,11468,645
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,11758,85
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,11821,75
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,11821,80
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,11943,85
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,12582,775
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,12582,860
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,12582,930
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,138
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,138
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,140
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,140
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,141
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,141
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,141
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,141
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,143
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,143
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,149
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,149
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,149
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,149
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,151
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,151
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,151
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,151
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,13027,85
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,13042,80
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,13434,325
Scandinavian Airlines,LHR,CPH,1x23 kg,1 Aktarma,1349,345
Luxair,LCY,LUX,1x23 kg,1 Aktarma,13557,1420
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,14248,80
Vueling Airlines,LHR,ORY,1x25 kg,Direkt Uçuş,14433,95
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,14905,350
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,14905,420
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,14905,1070
Luxair,LCY,LUX,1x23 kg,1 Aktarma,15038,630
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,15905,260
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,15905,320
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,15905,335
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,15905,375
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,15905,1340
Eurowings,LHR,HAM,El çantası,1 Aktarma,16261,270
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,320
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,375
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,380
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,425
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,545
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,555
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,605
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,615
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,665
Swiss,LHR,ZRH,1x23 kg,1 Aktarma,16659,1395
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,17105,410
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,17105,535
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,17105,590
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,17105,605
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,17105,715
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,17105,785
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,17105,1255
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,17105,1435
Swiss,LHR,ZRH,1x23 kg,1 Aktarma,17419,265
Swiss,LHR,ZRH,1x23 kg,1 Aktarma,17419,425
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,265
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,325
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,435
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,485
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,495
Austrian,LHR,VIE,1x23 kg,1 Aktarma,17557,1295
Austrian,LHR,VIE,1x23 kg,1 Aktarma,17557,1375
Luxair,LCY,LUX,1x23 kg,1 Aktarma,17766,1190
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,17909,1165
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,17909,1190
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,17909,1365
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,17909,1390
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,17909,1420
Norwegian Air Shuttle,LGW,OSL,El çantası,1 Aktarma,1824,755
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,18303,80
Eurowings,LHR,HAM,1x23 kg,1 Aktarma,18459,270
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,18524,250
Luxair,LCY,LUX,1x23 kg,1 Aktarma,18557,400
Scandinavian Airlines,LHR,OSL,1x23 kg,1 Aktarma,19295,680
Swiss,LHR,ZRH,1x23 kg,1 Aktarma,19701,295
Norwegian Air International,LGW,CPH,El çantası,1 Aktarma,1989,605
Aer Lingus,LHR,DUB,1x20 kg,1 Aktarma,2037,1000
Norwegian Air Shuttle,LGW,OSL,El çantası,1 Aktarma,21416,620
Iberia,LGW,BCN,1x23 kg,1 Aktarma,21609,335
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21658,775
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21808,265
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21808,350
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,22144,310
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,22501,700
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,22951,310
TAP Portugal,LHR,LIS,1x23 kg,1 Aktarma,22985,410
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,2475,625
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,25544,265
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,25544,600
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,25604,535
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,25795,365
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,26129,220
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,26129,270
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,27398,95
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,28423,295
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,28539,375
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,75
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,38086,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,38086,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,38086,80
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,38553,325
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,38927,275
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,51561,260
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,52059,300
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,395
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,4469,85
easyJet,LGW,CDG,El çantası,Direkt Uçuş,5162,75
easyJet,LTN,CDG,El çantası,Direkt Uçuş,5162,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,5397,75
easyJet,LGW,CDG,El çantası,Direkt Uçuş,5397,75
easyJet,LTN,CDG,El çantası,Direkt Uçuş,5397,80
Vueling Airlines,LHR,ORY,El çantası,Direkt Uçuş,5704,95
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,6054,90
easyJet,LGW,CDG,El çantası,Direkt Uçuş,6216,80
easyJet,LTN,CDG,El çantası,Direkt Uçuş,6397,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,6504,85
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,6871,85
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,6948,142
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,701,635
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,7572,85
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,7841,75
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,7841,80
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,7905,935
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,8055,75
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,8055,75
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,8055,80
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,822,775
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,8336,95
ITA - Italia Trasporto Aereo,LCY,FCO,El çantası,1 Aktarma,8412,345
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,8498,75
British Airways,LHR,ORY,1x23 kg,Direkt Uçuş,8521,95
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,8865,90
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,891,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,8928,75
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,8928,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,8928,80
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,905,90
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,9071,80
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,9154,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,9154,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,9154,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,9154,142
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,9178,85
ITA - Italia Trasporto Aereo,LGW,FCO,El çantası,1 Aktarma,9192,635
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,9395,855
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,10081,85
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,260
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,335
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,340
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,375
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,420
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,465
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,530
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,590
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,600
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,1300
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,1340
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,140
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,1046,140
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,143
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,1046,143
Vueling Airlines,LHR,ORY,1x25 kg,Direkt Uçuş,11322,95
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,11477,265
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,11676,152
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,152
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,11705,90
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,11821,80
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,12065,610
Norwegian Air International,LGW,CPH,El çantası,1 Aktarma,12466,405
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,1259,330
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,1259,500
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,1259,700
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,145
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,145
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,147
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,147
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,151
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,151
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,1304,615
Norwegian Air International,LGW,CPH,El çantası,1 Aktarma,13125,285
Norwegian Air International,LGW,CPH,El çantası,1 Aktarma,13125,465
KM Malta Airlines,LHR,MLA,El çantası,1 Aktarma,13548,1270
KLM Royal Dutch Airlines,LCY,AMS,1x23 kg,1 Aktarma,1377,610
Norwegian Air International,LGW,CPH,El çantası,1 Aktarma,13784,620
Air Europa,LGW,MAD,El çantası,1 Aktarma,14845,445
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,15258,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,15258,80
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,15986,320
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,16155,700
Scandinavian Airlines,LHR,CPH,1x23 kg,1 Aktarma,16297,485
Luxair,LCY,LUX,1x23 kg,1 Aktarma,16444,935
Royal Air Maroc,LGW,CMN,1x23 kg,1 Aktarma,16709,785
Royal Air Maroc,LGW,CMN,1x23 kg,1 Aktarma,1692,800
KM Malta Airlines,LHR,MLA,El çantası,1 Aktarma,17492,495
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,260
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,380
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,500
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,545
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,620
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,665
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,805
Eurowings,LHR,HAM,1x23 kg,1 Aktarma,18033,665
Scandinavian Airlines,LHR,CPH,1x23 kg,1 Aktarma,18175,705
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,18193,325
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,18386,375
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,18524,205
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,18532,1405
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,1872,800
TAP Portugal,LHR,LIS,1x23 kg,1 Aktarma,18833,415
TAP Portugal,LHR,LIS,1x23 kg,1 Aktarma,18833,530
TAP Portugal,LHR,LIS,1x23 kg,1 Aktarma,18833,715
TAP Portugal,LHR,LIS,1x23 kg,1 Aktarma,18833,795
Aer Lingus,LHR,DUB,1x20 kg,1 Aktarma,18862,345
Air Algerie,STN,ALG,1x23 kg,1 Aktarma,19025,435
Vueling Airlines,LGW,BCN,1x25 kg,1 Aktarma,19095,580
Royal Air Maroc,LHR,CMN,1x23 kg,1 Aktarma,19529,710
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,20245,1255
Norwegian Air Shuttle,LGW,OSL,El çantası,1 Aktarma,20349,635
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,20452,320
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,20452,320
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,20452,365
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21811,350
Swiss,LHR,ZRH,1x23 kg,1 Aktarma,22731,295
Norwegian Air Shuttle,LGW,BGO,El çantası,1 Aktarma,23107,565
Norwegian Air Shuttle,LGW,OSL,El çantası,1 Aktarma,23527,710
Norwegian Air Shuttle,LGW,OSL,El çantası,1 Aktarma,24366,775
Eurowings,LHR,HAM,1x23 kg,1 Aktarma,25093,260
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,25984,265
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,26146,785
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,26674,80
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,26674,80
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,26674,80
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,27636,95
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,28557,325
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,28718,260
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,75
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,38884,710
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,315
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,315
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,400
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,430
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,515
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,580
easyJet,LGW,CDG,El çantası,Direkt Uçuş,2835,75
easyJet,LGW,CDG,El çantası,Direkt Uçuş,2835,75
easyJet,LGW,CDG,El çantası,Direkt Uçuş,2835,75
easyJet,LTN,CDG,El çantası,Direkt Uçuş,2835,80
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,3019,85
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,3019,85
easyJet,LTN,CDG,El çantası,Direkt Uçuş,3392,80
Vueling Airlines,LHR,ORY,El çantası,Direkt Uçuş,3469,95
easyJet,LTN,CDG,El çantası,Direkt Uçuş,3894,80
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,5167,85
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,5167,85
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,5263,75
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,5263,75
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,5263,75
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,5263,80
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,5372,85
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,5372,85
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,5607,95
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,5687,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,5687,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,5687,145
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,5687,145
British Airways,LHR,ORY,1x23 kg,Direkt Uçuş,5807,95
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,5814,80
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,5989,860
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,6177,75
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,6214,820
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,6304,144
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,6304,144
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,6317,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,6452,75
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,6459,940
easyJet,LGW,CDG,El çantası,Direkt Uçuş,6613,80
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,673,635
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,6948,149
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,6948,149
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,745,75
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,745,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,745,80
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,7545,610
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,7553,255
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,7887,140
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,7887,140
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,7907,335
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,7907,375
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,7907,465
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,7907,1305
KM Malta Airlines,LGW,MLA,El çantası,1 Aktarma,7911,1205
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,8355,650
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,8445,85
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,8445,85
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,8684,350
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,8684,420
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,8684,1070
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,8884,75
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,8928,80
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,9035,450
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,9045,80
Vueling Airlines,LHR,ORY,1x25 kg,Direkt Uçuş,9085,95
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,9154,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,9154,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,9154,151
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,9154,151
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,9668,80
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,995,535
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,995,605
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,995,1255
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,9963,600
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,10051,80
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,10063,375
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,10125,260
